# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Mon Jun 30 19:40:18 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: LSST ugrizy, Sept 2023, total filter throughputs R1.9 (all ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z        mbolmag  umag    gmag    rmag    imag    zmag    ymag
0.0028419 -0.73370 10.11594 0.0900000036 1.0816895926    0.090 -3.281  3.4246  5.323    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.93e-18      0.00 7.408e-01 2.562e-01 5.419e-04 1.462e-04 1.326e-03 -1.000 3.014e-03 12.972 20.361 18.085 16.372 13.763 12.730 12.273
0.0028419 -0.73370 10.11594 0.0912794471 1.0938340321    0.091 -3.252  3.4287  5.317    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-17      0.00 7.407e-01 2.563e-01 5.419e-04 1.462e-04 1.326e-03 -1.000 3.014e-03 12.899 20.242 17.880 16.175 13.647 12.642 12.199
0.0028419 -0.73370 10.11594 0.0995957851 1.1677209598    0.100 -3.071  3.4540  5.275    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -6.4e-17      0.00 7.398e-01 2.572e-01 5.419e-04 1.462e-04 1.326e-03 -1.000 3.014e-03 12.446 19.430 16.685 15.059 12.956 12.110 11.740
0.0028419 -0.73370 10.11594 0.1187873632 1.3112705487    0.119 -2.802  3.4866  5.213    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.42e-16      0.00 7.380e-01 2.590e-01 5.419e-04 1.462e-04 1.326e-03 -1.000 3.014e-03 11.776 18.044 15.142 13.578 12.029 11.377 11.083
0.0028419 -0.73370 10.11594 0.1379789412 1.4274480842    0.138 -2.618  3.5058  5.170    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-17      0.00 7.365e-01 2.605e-01 5.419e-04 1.462e-04 1.326e-03 -1.000 3.014e-03 11.314 17.076 14.245 12.725 11.451 10.897 10.639
0.0028419 -0.73370 10.11594 0.1571705043 1.5243140783    0.157 -2.475  3.5184  5.135    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.88e-16      0.00 7.353e-01 2.617e-01 5.419e-04 1.462e-04 1.326e-03 -1.000 3.014e-03 10.959 16.383 13.631 12.143 11.029 10.535 10.297
0.0028419 -0.73370 10.11594 0.1955536604 1.6785730773    0.195 -2.256  3.5348  5.075    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.58e-16      0.00 7.336e-01 2.634e-01 5.419e-04 1.462e-04 1.326e-03 -1.000 3.014e-03 10.410 15.432 12.796 11.363 10.411 9.982 9.767
0.0028419 -0.73370 10.11594 0.2435325980 1.8236281576    0.243 -2.050  3.5474  5.014    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.33e-18      0.00 7.330e-01 2.640e-01 5.419e-04 1.462e-04 1.326e-03 -1.000 3.014e-03 9.894 14.629 12.083 10.694 9.850 9.466 9.266
0.0028419 -0.73370 10.11594 0.2915115356 1.9355950555    0.291 -1.889  3.5564  4.969    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.56e-17      0.00 7.330e-01 2.640e-01 5.419e-04 1.462e-04 1.326e-03 -1.000 3.014e-03 9.494 14.044 11.556 10.198 9.423 9.068 8.879
0.0028419 -0.73370 10.11594 0.3394904435 2.0258484891    0.339 -1.755  3.5641  4.931    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.81e-16      0.00 7.406e-01 2.564e-01 5.419e-04 1.462e-04 1.326e-03 -1.000 3.014e-03 9.157 13.561 11.119 9.786 9.065 8.735 8.554
